iter	Logloss
0	0.6561627135
1	0.6265271267
2	0.6034161483
3	0.5854030552
4	0.5701988164
5	0.5577304364
6	0.5472399592
7	0.5402046936
8	0.5331440431
9	0.5273860452
10	0.5224298582
11	0.5187055667
12	0.515555668
13	0.51273658
14	0.510311875
15	0.5081171544
16	0.5065523407
17	0.5050999363
18	0.5038498078
19	0.5027485493
20	0.501809669
21	0.5009693714
22	0.5001990109
23	0.4995880362
24	0.4993522525
25	0.4987538791
26	0.498261116
27	0.4977737254
28	0.4973322842
29	0.496927578
30	0.4965577559
31	0.4961998935
32	0.4958870095
33	0.4956288707
34	0.4952869771
35	0.4949608453
36	0.4946868271
37	0.4943872838
38	0.4941485096
39	0.4938946681
40	0.4936304898
41	0.4934392151
42	0.4931849635
43	0.4930455609
44	0.4928112787
45	0.4925716076
46	0.4923483508
47	0.4921506268
48	0.4919109952
49	0.491740885
50	0.4915164458
51	0.4913011691
52	0.4911038306
53	0.4908896741
54	0.4907807474
55	0.4905999013
56	0.4904609578
57	0.4903074706
58	0.4901200493
59	0.4899648193
60	0.4897649434
61	0.4895851629
62	0.489439216
63	0.4892959703
64	0.4891185215
65	0.4889769462
66	0.4888318531
67	0.488723211
68	0.4885175907
69	0.4884213948
70	0.488315388
71	0.4881884332
72	0.4880311498
73	0.4879654037
74	0.4878119724
75	0.4876592329
76	0.4875560978
77	0.4874699097
78	0.4872995259
79	0.4871851547
80	0.4870570445
81	0.4868884067
82	0.4867528155
83	0.4866423854
84	0.486539536
85	0.4863792087
86	0.4862149928
87	0.4861214701
88	0.486036521
89	0.4859370334
90	0.4858718137
91	0.4857489552
92	0.4856875535
93	0.4855764234
94	0.4854947283
95	0.4853753116
96	0.4852336644
97	0.4851458974
98	0.4850873225
99	0.4850052474
