iter	Passed	Remaining
0	377	37343
1	886	43451
2	1253	40526
3	1538	36917
4	1978	37597
5	2452	38422
6	2867	38094
7	3098	35631
8	3560	35996
9	4008	36077
10	4519	36568
11	4978	36505
12	5422	36285
13	5806	35667
14	6259	35471
15	6657	34953
16	7093	34635
17	7482	34085
18	7945	33871
19	8324	33296
20	8761	32958
21	9186	32569
22	9632	32247
23	10085	31936
24	10287	30863
25	10653	30321
26	11066	29920
27	11462	29475
28	11917	29176
29	12430	29003
30	12889	28690
31	13403	28483
32	13816	28052
33	14235	27632
34	14638	27185
35	15101	26847
36	15525	26435
37	15951	26026
38	16391	25638
39	16810	25216
40	17253	24828
41	17670	24401
42	18140	24046
43	18601	23674
44	19039	23270
45	19515	22909
46	19897	22437
47	20340	22035
48	20725	21571
49	21190	21190
50	21600	20753
51	22157	20452
52	22544	19992
53	22981	19577
54	23375	19125
55	23799	18699
56	24194	18252
57	24661	17858
58	25043	17403
59	25500	17000
60	25959	16596
61	26361	16157
62	26763	15717
63	27176	15286
64	27625	14875
65	28065	14457
66	28591	14082
67	28984	13639
68	29412	13214
69	29852	12793
70	30305	12378
71	30755	11960
72	31196	11538
73	31585	11097
74	32060	10686
75	32475	10255
76	32884	9822
77	33344	9404
78	33777	8978
79	34217	8554
80	34651	8128
81	35120	7709
82	35508	7272
83	35919	6841
84	36352	6415
85	36791	5989
86	37234	5563
87	37624	5130
88	38058	4703
89	38489	4276
90	38990	3856
91	39486	3433
92	39907	3003
93	40474	2583
94	40907	2153
95	41351	1722
96	41815	1293
97	42287	863
98	42744	431
99	43134	0
